OrderId,UserId,OrderValue,PaymentType,District,OrderSource,OrderType,DeliveryCharge,OrderPlacedDay,OrderConfirmDayOverPhone,IsCartOrder,OrderFromPromotionalEvent, courierService ,isRTO
2650382,898307,185,MPD                 ,Narayanganj,android,normal,60,8/1/2019 2:00,8/1/2019 5:18,No,No,Paperfly                                                                                            ,No
2650276,981347,0,MPS                 ,Sylhet City,android,express,25,8/1/2019 1:04,8/1/2019 2:17,Yes,Yes,Paperfly                                                                                            ,No
2650275,981347,225,MPS                 ,Sylhet City,android,express,35,8/1/2019 1:04,8/1/2019 2:17,Yes,Yes,Paperfly                                                                                            ,No
2650241,984473,150,MPS                 ,Dhaka,android,normal,25,8/1/2019 0:56,8/1/2019 2:13,Yes,Yes,E-Desh                                                                                              ,No
2650237,252085,424,MPD                 ,Dhaka,android,normal,0,8/1/2019 0:53,8/1/2019 2:32,Yes,No,E-Desh                                                                                              ,No
2650236,252085,171,MPD                 ,Dhaka,android,normal,0,8/1/2019 0:53,8/1/2019 2:32,Yes,Yes,E-Desh                                                                                              ,No
2650137,47518,1500,MPD                 ,Dhaka,mobile-site,normal,35,8/1/2019 0:24,8/1/2019 3:39,No,No,E-Desh                                                                                              ,No
2649988,984464,1255,OPS                 ,Dhaka,android,normal,0,8/1/2019 0:11,8/1/2019 2:11,Yes,No,E-Desh                                                                                              ,No
2649987,984464,118,OPS                 ,Dhaka,android,normal,0,8/1/2019 0:11,8/1/2019 2:11,Yes,Yes,E-Desh                                                                                              ,No
2649892,822264,486,MPD                 ,Dhaka,android,normal,30,7/31/2019 23:50,8/1/2019 3:06,No,Yes,E-Desh                                                                                              ,No
2649876,462227,175,MPS                 ,Gazipur,android,normal,0,7/31/2019 23:46,7/31/2019 17:52,Yes,No,Paperfly                                                                                            ,No
2649875,462227,137,MPS                 ,Gazipur,android,normal,25,7/31/2019 23:46,7/31/2019 17:52,Yes,Yes,Paperfly                                                                                            ,No
2649856,984321,165,MPD                 ,Gazipur,android,normal,60,7/31/2019 23:40,8/1/2019 5:10,No,No,E-Desh                                                                                              ,No
2649797,10457,338,ADC                 ,Gazipur,android,,0,7/31/2019 23:30,7/31/2019 17:36,Yes,No,E-Desh                                                                                              ,No
2649705,349600,299,MPS                 ,Gazipur,android,normal,25,7/31/2019 23:09,7/31/2019 17:16,Yes,Yes,E-Desh                                                                                              ,No
2649513,982908,111,MPD                 ,Dhaka,android,normal,30,7/31/2019 23:02,7/31/2019 17:05,No,Yes,E-Desh                                                                                              ,No
2649502,982795,187,MPD                 ,Gazipur,android,normal,60,7/31/2019 23:02,7/31/2019 17:10,No,Yes,E-Desh                                                                                              ,No
2649499,803084,399,MPD                 ,Gazipur,android,normal,60,7/31/2019 23:01,7/31/2019 17:42,No,Yes,Paperfly                                                                                            ,No
